name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Phaeobacter inhibens	221822	S	54349	27704	82053	0.02288
Phaeobacter gallaeciensis	60890	S	34783	86397	121180	0.03379
Phaeobacter piscinae	1580596	S	31285	26995	58280	0.01625
Phaeobacter porticola	1844006	S	28745	10099	38844	0.01083
Phaeobacter sp. LSS9	681157	S	2368	3264	5632	0.00157
Sulfitobacter pseudonitzschiae	1402135	S	50834	10887	61721	0.01721
Sulfitobacter sp. SK025	1389011	S	37378	11507	48885	0.01363
Sulfitobacter sp. AM1-D1	1917485	S	26884	32879	59763	0.01666
Sulfitobacter sp. JL08	2070369	S	23425	1253	24678	0.00688
Sulfitobacter sp. SK011	1389004	S	18090	913	19003	0.00530
Sulfitobacter sp. SK012	1389005	S	9028	354	9382	0.00262
Rhodobacter sphaeroides	1063	S	58897	11555	70452	0.01964
Rhodobacter sp. LPB0142	1850250	S	50883	66019	116902	0.03259
Rhodobacter sp. CZR27	2033869	S	17200	5736	22936	0.00639
Rhodobacter capsulatus	1061	S	10843	1686	12529	0.00349
Paracoccus zhejiangensis	1077935	S	16683	6378	23061	0.00643
Paracoccus yeei	147645	S	13597	18080	31677	0.00883
Paracoccus sp. CBA4604	2065379	S	13101	1680	14781	0.00412
Paracoccus contaminans	1945662	S	11830	2312	14142	0.00394
Paracoccus denitrificans	266	S	11725	2834	14559	0.00406
Paracoccus aminovorans	34004	S	10018	3301	13319	0.00371
Paracoccus sp. BM15	1529068	S	9979	573	10552	0.00294
Paracoccus sp. SC2-6	2259340	S	9326	3284	12610	0.00352
Paracoccus aminophilus	34003	S	9312	679	9991	0.00279
Paracoccus mutanolyticus	1499308	S	2029	5567	7596	0.00212
Celeribacter indicus	1208324	S	28995	30212	59207	0.01651
Celeribacter manganoxidans	1411902	S	21277	6872	28149	0.00785
Celeribacter marinus	1397108	S	18232	817	19049	0.00531
Celeribacter baekdonensis	875171	S	17078	10196	27274	0.00760
Celeribacter ethanolicus	1758178	S	16147	12310	28457	0.00793
Ruegeria sp. AD91A	2293862	S	42786	3700	46486	0.01296
Ruegeria pomeroyi	89184	S	35065	4602	39667	0.01106
Ruegeria sp. TM1040	292414	S	13612	2991	16603	0.00463
Ruegeria sp. NKC1-1	2099786	S	22	5	27	0.00001
Rhodovulum sp. P5	1564506	S	26392	3691	30083	0.00839
Rhodovulum sulfidophilum	35806	S	20371	7602	27973	0.00780
Rhodovulum sp. MB263	308754	S	9106	4468	13574	0.00378
Yangia sp. CCB-MM3	1792508	S	26103	6940	33043	0.00921
Yangia pacifica	311180	S	23220	7588	30808	0.00859
Yoonia vestfoldensis	245188	S	56151	19766	75917	0.02117
Sagittula sp. P11	2009329	S	52597	54809	107406	0.02995
Confluentimicrobium sp. EMB200-NS6	1609966	S	47949	43645	91594	0.02554
Marinovum algicola	42444	S	45313	24059	69372	0.01934
Antarctobacter heliothermus	74033	S	44846	2807	47653	0.01329
Rhodobacteraceae bacterium	1904441	S	20656	26911	47567	0.01326
Rhodobacteraceae bacterium QY30	2033435	S	11533	1022	12555	0.00350
Rhodobacteraceae bacterium BAR1	2171755	S	11053	438	11491	0.00320
Salipiger profundus	1229727	S	42927	35691	78618	0.02192
Thalassococcus sp. SH-1	2109625	S	39698	4260	43958	0.01226
Dinoroseobacter shibae	215813	S	39084	30973	70057	0.01953
Octadecabacter arcticus	53946	S	19783	2634	22417	0.00625
Octadecabacter antarcticus	1217908	S	7584	967	8551	0.00238
Octadecabacter temperatus	1458307	S	6480	186	6666	0.00186
Pelagibaca abyssi	1250539	S	36373	25231	61604	0.01718
Roseobacter denitrificans	2434	S	14958	5508	20466	0.00571
Roseobacter litoralis	42443	S	14912	1322	16234	0.00453
Brevirhabdus pacifica	1267768	S	31523	17415	48938	0.01364
Defluviimonas alba	1335048	S	30511	18053	48564	0.01354
Epibacterium mobile	379347	S	29613	9236	38849	0.01083
Roseovarius sp. TM1035	391613	S	6473	11120	17593	0.00491
Roseovarius mucosus	215743	S	5837	10842	16679	0.00465
Thioclava nitratireducens	1915078	S	27128	6748	33876	0.00945
Marivivens sp. JLT3646	1920883	S	25871	15729	41600	0.01160
Tateyamaria omphalii	299262	S	24889	840	25729	0.00717
Leisingera methylohalidivorans	133924	S	23890	3483	27373	0.00763
Roseibacterium elongatum	159346	S	23693	2431	26124	0.00728
Gemmobacter sp. HYN0069	2169400	S	16332	7250	23582	0.00657
Jannaschia sp. CCS1	290400	S	16171	279	16450	0.00459
Rhodobaca barguzinensis	441209	S	12949	610	13559	0.00378
Ketogulonicigenium vulgare	92945	S	6902	1190	8092	0.00226
Ketogulonicigenium robustum	92947	S	4622	711	5333	0.00149
Labrenzia sp. VG12	2021862	S	3910	354	4264	0.00119
Labrenzia sp. CP4	1674922	S	1092	1772	2864	0.00080
Labrenzia aggregata	187304	S	821	1184	2005	0.00056
Pannonibacter phragmitetus	121719	S	5826	8430	14256	0.00397
Halocynthiibacter arcticus	1579316	S	4948	232	5180	0.00144
Stappia sp. ES.058	1881061	S	2883	295	3178	0.00089
Pseudovibrio sp. FO-BEG1	911045	S	1912	160	2072	0.00058
Hyphomonas sp. Mor2	1906738	S	816	24	840	0.00023
Hyphomonas neptunium	81032	S	689	154	843	0.00024
Hyphomonas sp. CACIAM 19H1	1873716	S	658	191	849	0.00024
Maricaulis maris	74318	S	842	71	913	0.00025
Hirschia baltica	2724	S	175	3	178	0.00005
Rhizobium sp. NT-26	1125847	S	4202	1225	5427	0.00151
Rhizobium leguminosarum	384	S	3758	1013	4771	0.00133
Rhizobium sp. ACO-34A	1571470	S	1426	421	1847	0.00051
Rhizobium phaseoli	396	S	868	1967	2835	0.00079
Rhizobium sp. NXC24	2048897	S	758	127	885	0.00025
Rhizobium etli	29449	S	706	1338	2044	0.00057
Rhizobium gallicum	56730	S	682	153	835	0.00023
Rhizobium sp. 11515TR	2028343	S	660	118	778	0.00022
Rhizobium tropici	398	S	654	131	785	0.00022
Rhizobium favelukesii	348824	S	570	285	855	0.00024
Rhizobium sp. CIAT894	2020312	S	507	219	726	0.00020
Rhizobium sp. NXC14	1981173	S	428	150	578	0.00016
Rhizobium sp. S41	1869170	S	405	3208	3613	0.00101
Rhizobium sp. TAL182	2020313	S	311	967	1278	0.00036
Rhizobium sp. Kim5	2020311	S	123	280	403	0.00011
Rhizobium sp. IE4771	1301032	S	119	260	379	0.00011
Rhizobium sp. IRBG74	424182	S	103	436	539	0.00015
Rhizobium sp. Y9	1914541	S	52	230	282	0.00008
Rhizobium sp. N324	1703969	S	11	200	211	0.00006
Agrobacterium tumefaciens	358	S	2575	2272	4847	0.00135
Agrobacterium fabrum	1176649	S	647	314	961	0.00027
Agrobacterium sp. RAC06	1842536	S	1838	422	2260	0.00063
Agrobacterium vitis	373	S	1269	191	1460	0.00041
Agrobacterium rhizogenes	359	S	330	133	463	0.00013
Agrobacterium sp. H13-3	861208	S	189	563	752	0.00021
Neorhizobium galegae	399	S	1797	455	2252	0.00063
Neorhizobium sp. SOG26	2060726	S	827	359	1186	0.00033
Neorhizobium sp. NCHU2750	1825976	S	803	350	1153	0.00032
Sinorhizobium fredii	380	S	2506	2704	5210	0.00145
Sinorhizobium sp. RAC02	1842534	S	1890	598	2488	0.00069
Sinorhizobium meliloti	382	S	1441	508	1949	0.00054
Sinorhizobium americanum	194963	S	781	348	1129	0.00031
Sinorhizobium medicae	110321	S	617	167	784	0.00022
Sinorhizobium sp. CCBAU 05631	794846	S	20	50	70	0.00002
Ensifer adhaerens	106592	S	1944	743	2687	0.00075
Ensifer sojae	716925	S	1127	799	1926	0.00054
Shinella sp. HZN7	879274	S	1569	2044	3613	0.00101
Candidatus Liberibacter asiaticus	34021	S	22	11	33	0.00001
Candidatus Liberibacter africanus	34020	S	20	8	28	0.00001
Mesorhizobium oceanicum	1670800	S	2894	845	3739	0.00104
Mesorhizobium loti	381	S	1750	1602	3352	0.00093
Mesorhizobium amorphae	71433	S	1508	492	2000	0.00056
Mesorhizobium ciceri	39645	S	1453	2236	3689	0.00103
Mesorhizobium sp. DCY119	2108445	S	834	318	1152	0.00032
Mesorhizobium opportunistum	593909	S	794	437	1231	0.00034
Mesorhizobium japonicum	2066070	S	749	463	1212	0.00034
Mesorhizobium australicum	536018	S	747	402	1149	0.00032
Mesorhizobium sp. WSM1497	278153	S	181	952	1133	0.00032
Mesorhizobium huakuii	28104	S	90	406	496	0.00014
Hoeflea phototrophica	244596	S	3469	649	4118	0.00115
Hoeflea sp. IMCC20628	1620421	S	3196	501	3697	0.00103
Nitratireductor sp. OM-1	1756988	S	2513	499	3012	0.00084
Nitratireductor basaltis	472175	S	1754	119	1873	0.00052
Aminobacter sp. MSH1	374606	S	1304	1791	3095	0.00086
Aminobacter aminovorans	83263	S	1064	461	1525	0.00043
Phyllobacterium zundukense	1867719	S	890	171	1061	0.00030
Chelativorans sp. BNC1	266779	S	675	127	802	0.00022
Bradyrhizobium erythrophlei	1437360	S	1510	155	1665	0.00046
Bradyrhizobium sp. ORS 285	115808	S	938	239	1177	0.00033
Bradyrhizobium ottawaense	931866	S	864	1843	2707	0.00075
Bradyrhizobium lablabi	722472	S	816	1445	2261	0.00063
Bradyrhizobium sp. BTAi1	288000	S	647	134	781	0.00022
Bradyrhizobium sp. ORS 278	114615	S	541	132	673	0.00019
Bradyrhizobium diazoefficiens	1355477	S	534	230	764	0.00021
Bradyrhizobium icense	1274631	S	485	97	582	0.00016
Bradyrhizobium sp. CCGE-LA001	1223566	S	475	88	563	0.00016
Bradyrhizobium sp. S23321	335659	S	447	99	546	0.00015
Bradyrhizobium sp. SK17	2057741	S	441	184	625	0.00017
Bradyrhizobium oligotrophicum	44255	S	418	87	505	0.00014
Bradyrhizobium japonicum	375	S	300	228	528	0.00015
Bradyrhizobium sp. G22	1839752	S	293	252	545	0.00015
Bradyrhizobium sp. 2 39S1MB	1404768	S	289	92	381	0.00011
Bradyrhizobium sp. 3 85S1MB	1404367	S	248	76	324	0.00009
Bradyrhizobium sp. WSM471	319017	S	166	194	360	0.00010
Bradyrhizobium sp.	376	S	77	98	175	0.00005
Rhodopseudomonas palustris	1076	S	5023	1652	6675	0.00186
Bosea sp. AS-1	2015316	S	993	273	1266	0.00035
Bosea vaviloviae	1526658	S	971	242	1213	0.00034
Bosea sp. RAC05	1842539	S	792	288	1080	0.00030
Bosea sp. PAMC 26642	1792307	S	655	134	789	0.00022
Nitrobacter hamburgensis	912	S	531	188	719	0.00020
Nitrobacter winogradskyi	913	S	478	192	670	0.00019
Oligotropha carboxidovorans	40137	S	708	42	750	0.00021
Variibacter gotjawalensis	1333996	S	546	48	594	0.00017
Bradyrhizobiaceae bacterium SG-6C	709797	S	377	92	469	0.00013
Afipia sp. GAS231	1882747	S	255	248	503	0.00014
Maritalea myrionectae	454601	S	8121	326	8447	0.00236
Devosia sp. I507	2083786	S	1297	125	1422	0.00040
Devosia sp. H5989	1643450	S	919	121	1040	0.00029
Devosia sp. A16	1736675	S	669	83	752	0.00021
Hyphomicrobium sp. MC1	717785	S	868	40	908	0.00025
Hyphomicrobium denitrificans	53399	S	699	173	872	0.00024
Hyphomicrobium nitrativorans	1427356	S	353	25	378	0.00011
Rhodomicrobium vannielii	1069	S	1098	75	1173	0.00033
Pelagibacterium halotolerans	531813	S	1034	139	1173	0.00033
Blastochloris viridis	1079	S	901	361	1262	0.00035
Rhodoplanes sp. Z2-YC6860	674703	S	732	100	832	0.00023
Candidatus Filomicrobium marinum	1608628	S	453	14	467	0.00013
Martelella mediterranea	293089	S	8111	3363	11474	0.00320
Martelella sp. AD-3	686597	S	1723	1054	2777	0.00077
