Sample	Reads	TaxID	Rank	Taxon
SRR24442555	27704	221822	S	Phaeobacter inhibens
SRR24442555	86397	60890	S	Phaeobacter gallaeciensis
SRR24442555	26995	1580596	S	Phaeobacter piscinae
SRR24442555	10099	1844006	S	Phaeobacter porticola
SRR24442555	3264	681157	S	Phaeobacter sp. LSS9
SRR24442555	10887	1402135	S	Sulfitobacter pseudonitzschiae
SRR24442555	11507	1389011	S	Sulfitobacter sp. SK025
SRR24442555	32879	1917485	S	Sulfitobacter sp. AM1-D1
SRR24442555	1253	2070369	S	Sulfitobacter sp. JL08
SRR24442555	913	1389004	S	Sulfitobacter sp. SK011
SRR24442555	354	1389005	S	Sulfitobacter sp. SK012
SRR24442555	11555	1063	S	Rhodobacter sphaeroides
SRR24442555	66019	1850250	S	Rhodobacter sp. LPB0142
SRR24442555	5736	2033869	S	Rhodobacter sp. CZR27
SRR24442555	1686	1061	S	Rhodobacter capsulatus
SRR24442555	6378	1077935	S	Paracoccus zhejiangensis
SRR24442555	18080	147645	S	Paracoccus yeei
SRR24442555	1680	2065379	S	Paracoccus sp. CBA4604
SRR24442555	2312	1945662	S	Paracoccus contaminans
SRR24442555	2834	266	S	Paracoccus denitrificans
SRR24442555	3301	34004	S	Paracoccus aminovorans
SRR24442555	573	1529068	S	Paracoccus sp. BM15
SRR24442555	3284	2259340	S	Paracoccus sp. SC2-6
SRR24442555	679	34003	S	Paracoccus aminophilus
SRR24442555	5567	1499308	S	Paracoccus mutanolyticus
SRR24442555	30212	1208324	S	Celeribacter indicus
SRR24442555	6872	1411902	S	Celeribacter manganoxidans
SRR24442555	817	1397108	S	Celeribacter marinus
SRR24442555	10196	875171	S	Celeribacter baekdonensis
SRR24442555	12310	1758178	S	Celeribacter ethanolicus
SRR24442555	3700	2293862	S	Ruegeria sp. AD91A
SRR24442555	4602	89184	S	Ruegeria pomeroyi
SRR24442555	2991	292414	S	Ruegeria sp. TM1040
SRR24442555	5	2099786	S	Ruegeria sp. NKC1-1
SRR24442555	3691	1564506	S	Rhodovulum sp. P5
SRR24442555	7602	35806	S	Rhodovulum sulfidophilum
SRR24442555	4468	308754	S	Rhodovulum sp. MB263
SRR24442555	6940	1792508	S	Yangia sp. CCB-MM3
SRR24442555	7588	311180	S	Yangia pacifica
SRR24442555	19766	245188	S	Yoonia vestfoldensis
