#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
ECFFIKGN_00002,1379270.AUXF01000003_gene3543,3.4699999999999992e-152,439,"COG1013@1|root,COG1013@2|Bacteria,1ZSWT@142182|Gemmatimonadetes",142182|Gemmatimonadetes,C,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",-,-,"1.2.7.11,1.2.7.3",ko:K00175,"ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200","M00009,M00011,M00173,M00620","R01196,R01197","RC00004,RC02742,RC02833","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,TPP_enzyme_C
ECFFIKGN_00003,1280953.HOC_18124,1.2499999999999998e-288,805,"COG0674@1|root,COG1014@1|root,COG0674@2|Bacteria,COG1014@2|Bacteria,1NBSJ@1224|Proteobacteria,2TU21@28211|Alphaproteobacteria,43Z43@69657|Hyphomonadaceae",28211|Alphaproteobacteria,C,pyruvate flavodoxin ferredoxin oxidoreductase,MA20_01045,-,"1.2.7.11,1.2.7.3",ko:K00174,"ko00010,ko00020,ko00620,ko00650,ko00720,ko01100,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00650,map00720,map01100,map01120,map01130,map01200","M00009,M00011,M00173,M00620","R01196,R01197","RC00004,RC02742,RC02833","br01601,ko00000,ko00001,ko00002,ko01000",-,-,-,"PFOR_II,POR,POR_N"
ECFFIKGN_00004,1280944.HY17_08395,1.73e-305,870,"COG0493@1|root,COG1143@1|root,COG0493@2|Bacteria,COG1143@2|Bacteria,1MU2H@1224|Proteobacteria,2TQK5@28211|Alphaproteobacteria,43ZFF@69657|Hyphomonadaceae",28211|Alphaproteobacteria,C,"Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster",MA20_01050,-,1.17.1.10,ko:K15022,"ko00680,ko00720,ko01120,ko01200,map00680,map00720,map01120,map01200",M00377,R00134,RC02796,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer4_20,Fer4_7,NADH_4Fe-4S,Pyr_redox_2,Pyr_redox_3"
ECFFIKGN_00005,1049564.TevJSym_ac00480,2.8799999999999996e-173,505,"COG0513@1|root,COG0513@2|Bacteria,1MU49@1224|Proteobacteria,1RMWA@1236|Gammaproteobacteria,1J4I6@118884|unclassified Gammaproteobacteria",1236|Gammaproteobacteria,JKL,DEAD-box RNA helicase involved in ribosome assembly. Has RNA-dependent ATPase activity and unwinds double-stranded RNA,rhlE,"GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0006950,GO:0006996,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010501,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0034641,GO:0042254,GO:0042255,GO:0042623,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0065003,GO:0070035,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:0140098,GO:1901360",3.6.4.13,ko:K11927,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03019",-,-,-,"DEAD,Helicase_C"
ECFFIKGN_00006,1500893.JQNB01000001_gene3497,2.58e-47,162,"COG1960@1|root,COG1960@2|Bacteria,1MUK0@1224|Proteobacteria,1RNBX@1236|Gammaproteobacteria,1X45S@135614|Xanthomonadales",135614|Xanthomonadales,I,Acyl-CoA dehydrogenase,gcdH,-,1.3.8.6,ko:K00252,"ko00071,ko00310,ko00362,ko00380,ko01100,ko01120,ko01130,map00071,map00310,map00362,map00380,map01100,map01120,map01130",M00032,"R02487,R02488,R10074","RC00052,RC00156","ko00000,ko00001,ko00002,ko01000",-,-,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N"
ECFFIKGN_00007,1454004.AW11_02845,8.56e-217,613,"COG1055@1|root,COG1055@2|Bacteria,1MUH8@1224|Proteobacteria,2VPFR@28216|Betaproteobacteria",28216|Betaproteobacteria,P,Citrate transporter,-,-,-,-,-,-,-,-,-,-,-,-,CitMHS
ECFFIKGN_00009,1280950.HJO_13121,3.5e-42,169,"COG0457@1|root,COG5616@1|root,COG0457@2|Bacteria,COG5616@2|Bacteria,1MUMZ@1224|Proteobacteria,2TRUI@28211|Alphaproteobacteria,43XNB@69657|Hyphomonadaceae",28211|Alphaproteobacteria,T,Adenylate cyclase,-,-,-,-,-,-,-,-,-,-,-,-,"TIR_2,TPR_16,TPR_8,Trans_reg_C"
ECFFIKGN_00010,1273538.G159_17110,7.5e-84,266,"COG2855@1|root,COG2855@2|Bacteria,1TQYA@1239|Firmicutes,4HCCP@91061|Bacilli,26FJQ@186818|Planococcaceae",91061|Bacilli,S,Conserved hypothetical protein 698,-,-,-,-,-,-,-,-,-,-,-,-,Cons_hypoth698
ECFFIKGN_00011,1123270.ATUR01000002_gene2202,2.14e-24,95.9,"COG0633@1|root,COG0633@2|Bacteria,1N261@1224|Proteobacteria,2UC7B@28211|Alphaproteobacteria,2K5DE@204457|Sphingomonadales",204457|Sphingomonadales,C,ferredoxin,-,-,-,ko:K04755,-,-,-,-,ko00000,-,-,-,Fer2
ECFFIKGN_00012,1042375.AFPL01000025_gene1165,3.05e-86,272,"COG0265@1|root,COG0265@2|Bacteria,1MU63@1224|Proteobacteria,1RN9T@1236|Gammaproteobacteria,4645J@72275|Alteromonadaceae",1236|Gammaproteobacteria,O,"COG0265 Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain",degS,"GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006508,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0009897,GO:0009986,GO:0009987,GO:0010033,GO:0016020,GO:0016021,GO:0016787,GO:0017171,GO:0019538,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031233,GO:0031975,GO:0033554,GO:0035966,GO:0035967,GO:0042221,GO:0042597,GO:0042802,GO:0043170,GO:0044238,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051716,GO:0051788,GO:0070011,GO:0070887,GO:0071218,GO:0071310,GO:0071575,GO:0071704,GO:0071944,GO:0098552,GO:0140096,GO:1901564",-,"ko:K04691,ko:K04772",-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"PDZ_2,Trypsin_2"
