contigName	contigLen	totalAvgDepth	aln.sorted.bam	aln.sorted.bam-var
k39_28	8228	9.11018	9.11018	10.2259
k39_58770	6776	8.05946	8.05946	6.65155
k39_58780	1130	3.1551	3.1551	1.39982
k39_39205	1315	3.19056	3.19056	1.49803
k39_92	2045	8.34776	8.34776	7.60181
k39_105	4759	6.91799	6.91799	6.75058
k39_137133	2820	7.81573	7.81573	12.2209
k39_137142	2377	3.94881	3.94881	3.00008
k39_39245	1040	2.65506	2.65506	0.959617
k39_98031	2283	4.07079	4.07079	2.90442
k39_117	3783	6.11891	6.11891	5.78096
k39_78449	1449	4.35489	4.35489	4.71912
k39_126	1033	2.57078	2.57078	0.989035
k39_137183	1473	3.51625	3.51625	1.95645
k39_117649	1708	5.58986	5.58986	3.85034
k39_145	7444	8.62874	8.62874	11.3122
k39_78492	1576	3.45231	3.45231	1.67246
k39_39337	1164	4.08678	4.08678	3.61737
k39_162	1064	3.2221	3.2221	1.47854
k39_98131	1662	3.86045	3.86045	5.01493
k39_58926	1201	3.27498	3.27498	1.5386
k39_39350	1146	5.28313	5.28313	7.89967
k39_98135	1247	2.90337	2.90337	1.99065
k39_19826	13802	8.07208	8.07208	8.30589
k39_185	2926	7.96794	7.96794	8.59468
k39_39374	1140	5.32323	5.32323	2.71847
k39_117712	1084	3.07281	3.07281	1.11796
k39_98169	7681	7.07848	7.07848	5.1103
k39_39389	2514	3.30668	3.30668	1.29101
k39_78556	1706	8.22429	8.22429	4.68213
k39_58961	15374	7.9353	7.9353	9.28058
k39_58964	1579	4.60182	4.60182	5.1068
k39_229	1499	9.20385	9.20385	6.00956
k39_39415	1080	9.83978	9.83978	7.82037
k39_237	5479	6.47964	6.47964	6.09723
k39_58991	1248	5.69126	5.69126	5.1434
k39_243	3040	5.76125	5.76125	7.99128
k39_78616	1827	3.20513	3.20513	1.79084
k39_39467	1112	3.15177	3.15177	1.56488
k39_98242	14200	7.51644	7.51644	7.83311
k39_263	15209	8.46849	8.46849	9.8589
k39_117824	2728	7.9263	7.9263	6.83368
k39_117832	1584	4.57043	4.57043	2.58159
k39_279	1605	3.28729	3.28729	1.37269
k39_137389	1982	7.25928	7.25928	6.10489
